feature_index,rank_control,rank_nocontrol,interpretation,paralinguistic,paralinguistic_justification,verify_status,verify_date,verify_reason
20598,9,70,"Adjective + Inside Construction [REFINED]: Feature 20598 encodes a syntactic pattern: the token 'inside' preceded by an adjective or descriptor. It is highly specific to the ' inside' token (not synonyms like 'interior'), requires left context (se...",no,Syntactic - adjective + inside construction,PASS,2026-01-14T22:27:20.889815+00:00,
14925,18072,71,,,,,,
21189,18273,72,,,,,,
13505,133,73,,,,,,
16993,1879,74,,,,,,
2967,60,75,,,,,,
6857,434,76,,,,,,
10433,1880,77,,,,,,
14009,486,78,,,,,,
9374,17758,79,,,,,,
1237,1881,80,,,,,,
15165,358,81,,,,,,
11187,17180,82,,,,,,
12540,28,83,"Copula-bound evaluative predicate detector [REFINED]: Feature 12540 detects the boundary between copula verbs and evaluative predicate phrases. It fires on prepositions/particles (on, out, off, over) immediately following forms of 'be' when they b...",no,Syntactic - copula + predicate boundary,PASS,2026-01-14T23:09:24.838109+00:00,
11784,1882,84,,,,,,
16871,657,85,,,,,,
14655,359,86,,,,,,
11038,24,87,Place-Assessment 'here' Detector [REFINED]: Feature 11038 is a 'place-assessment locative' detector that fires on the token 'here' when it follows an evaluative or descriptive adjective. The pattern '[adjective] here' captures the common linguisti...,no,Lexical - word (here) with adjectival context,PASS,2026-01-14T23:07:01.645322+00:00,
9713,34,88,Lexical ' dining' detector with progressive-tense boost [CONFIRMED]: Feature 9713 is a highly specific lexical detector for the GPT-2 token ' dining'. It fires on every instance of this token but NOT on semantically similar words like 'eating' or ...,,,,,
9171,105,89,,,,,,
22703,31,90,"Pricing/Prices vocabulary with left context [REFINED]: Feature 22703 is a lexical detector for pricing-related vocabulary, specifically the tokens ' pricing' (strong activation 0.12-0.17) and ' prices' (weak activation 0.05-0.10). It requires at l...",,,WARN,2026-01-14T23:09:59.028958+00:00,WARN: High confidence (85%) with multiple false positives (4); WARN: Confidence may be high for evidence (85% confidence with 70% accuracy)
6947,604,91,,,,,,
13112,1883,92,,,,,,
5569,1338,93,,,,,,
21756,13,94,"Mid-Sentence Locative ' here' Token Detector [CONFIRMED]: Detects the BPE token ' here' (with leading space) in any mid-sentence position, with amplitude modulated by left context. Highest activation (0.20-0.26) with 'back' context indicating retu...",no,Lexical - token (here) mid-sentence,PASS,2026-01-14T22:30:53.118768+00:00,
16575,566,95,,,,,,
11090,118,96,,,,,,
15937,292,97,,,,,,
20462,781,98,,,,,,
908,672,99,,,,,,
2738,77,100,,,,,,
21933,256,101,,,,,,
21787,1884,102,,,,,,
22270,492,103,,,,,,
9246,22,104,Parenthetical yes-confirmation continuation [REFINED]: Feature 9246 detects the continuation token immediately following 'yes' when used as a parenthetical affirmation marker. The feature is highly sensitive to position: mid-sentence parenthetical...,no,Discourse - parenthetical yes-confirmation,WARN,2026-01-14T23:06:43.085042+00:00,WARN: High confidence (85%) with multiple false positives (4). The 4 false positives suggest the feature fires on some cases beyond the stated interpr
1893,16,105,"Possession Verb + Determiner Onset [REFINED]: Feature 1893 is a syntactic feature that detects the onset of noun phrases following possession verbs (have/has). It fires on determiners and quantifiers (a, an, the, some, any, one, their, many) immed...",no,Syntactic - possession verb + determiner onset,PASS,2026-01-14T22:30:37.054797+00:00,
1833,943,106,,,,,,
20470,21,107,"Article + Lexical Fixture Noun (booth/station/stage/stall) [REFINED]: Feature 20470 is a lexically-specific detector for the nouns 'booth', 'station', 'stage', and 'stall' when preceded by articles (a/the) or locational prepositions. Initially int...",no,Lexical - nouns (booth/station/stage/stall),PASS,2026-01-14T22:59:30.617086+00:00,
23863,71,108,,,,,,
13365,214,109,,,,,,
23872,70,110,,,,,,
24017,170,111,,,,,,
1095,1388,112,,,,,,
6054,612,113,,,,,,
6502,645,114,,,,,,
917,302,115,,,,,,
21742,460,116,,,,,,
15541,404,117,,,,,,
10614,560,118,,,,,,
3894,56,119,,,,,,
24112,216,120,,,,,,
484,142,121,,,,,,
1069,17413,122,,,,,,
21845,205,123,,,,,,
15465,88,124,,,,,,
16188,184,125,,,,,,
8051,496,126,,,,,,
7887,66,127,,,,,,
7144,488,128,,,,,,
17619,1885,129,,,,,,
19856,50,130,"Know + First Person (Epistemic Self-Reference) [REFINED]: Feature 19856 detects first-person pronouns (I, me, my, we) that follow the verb 'know' (or 'see').",,,,,
9421,1886,131,,,,,,
23950,660,132,,,,,,
6483,1887,133,,,,,,
21590,866,134,,,,,,
14237,400,135,,,,,,
22487,1888,136,,,,,,
14458,1889,137,,,,,,
21093,29,138,"Tactile/Physical Sensation Adjective Coordination [REFINED]: Feature 21093 detects coordinating conjunctions following physical/tactile sensation adjectives (texture, temperature, touch) in predicative constructions. Initially appeared to be a 'te...",no,Syntactic - adjective coordination pattern,PASS,2026-01-14T23:09:57.079378+00:00,
3431,17592,139,,,,,,
18061,17799,140,,,,,,
12255,164,141,,,,,,
7254,367,142,,,,,,
11328,37,143,Multi-Item Enumeration Newlines [REFINED]: Feature 11328 detects newline characters within multi-item enumeration structures (3+ items),,,,,
23003,30,144,Post-exclamation pronoun-copula [REFINED]: Feature 23003 is a discourse transition detector that fires on copula/auxiliary verbs at the start of sentences following exclamation marks. It marks the grammatical shift from exclamatory expression to d...,maybe,Punctuation context - post-exclamation sentence start,PASS,2026-01-14T23:10:40.378004+00:00,
13562,421,145,,,,,,
12039,17554,146,,,,,,
6693,478,147,,,,,,
17824,217,148,,,,,,
16026,485,149,,,,,,
14069,18012,150,,,,,,
13279,410,151,,,,,,
998,100,152,,,,,,
1652,17795,153,,,,,,
18645,1890,154,,,,,,
13419,1891,155,,,,,,
67,199,156,,,,,,
11435,107,157,,,,,,
22486,519,158,,,,,,
22791,524,159,,,,,,
20432,18104,160,,,,,,
12491,94,161,,,,,,
15966,119,162,,,,,,
14977,258,163,,,,,,
21620,18146,164,,,,,,
13449,515,165,,,,,,
14664,555,166,,,,,,
18737,474,167,,,,,,
3978,721,168,,,,,,
2453,69,169,,,,,,
16399,194,170,,,,,,
2263,166,171,,,,,,
8183,432,172,,,,,,
12589,452,173,,,,,,
17107,49,174,First-Person Pronoun at Discourse Transition [REFINED]: Feature 17107 detects first-person pronouns (I/we) at discourse transition points when a transition marker immediately precedes the pronoun.,,,,,
22119,705,175,,,,,,
12502,1731,176,,,,,,
8016,1892,177,,,,,,
12953,1893,178,,,,,,
19100,174,179,,,,,,
22879,18083,180,,,,,,
6489,605,181,,,,,,
2556,463,182,,,,,,
9308,794,183,,,,,,
5168,17231,184,,,,,,
5261,98,185,,,,,,
3644,1894,186,,,,,,
20327,760,187,,,,,,
13175,1895,188,,,,,,
3013,18112,189,,,,,,
21023,1896,190,,,,,,
19127,109,191,,,,,,
7918,219,192,,,,,,
3728,17866,193,,,,,,
15889,1897,194,,,,,,
14110,392,195,,,,,,
8564,622,196,,,,,,
19076,179,197,,,,,,
7959,191,198,,,,,,
17273,19,199,"Nationality adjective after proper noun (business naming) [REFINED]: Feature 17273 detects nationality/ethnicity adjectives (Mexican, American, Italian, Japanese, etc.) when they immediately follow a proper noun or brand name in business naming co...",no,Lexical - nationality adjectives after proper nouns,PASS,2026-01-14T22:59:41.140305+00:00,
16363,17988,200,,,,,,
22391,1431,201,,,,,,
22772,828,202,,,,,,
23463,1898,203,,,,,,
6451,325,204,,,,,,
4746,635,205,,,,,,
6775,525,206,,,,,,
1611,228,207,,,,,,
10821,1899,208,,,,,,
21484,1900,209,,,,,,
3924,874,210,,,,,,
13216,1901,211,,,,,,
15488,673,212,,,,,,
18233,1902,213,,,,,,
23319,1903,214,,,,,,
8485,121,215,,,,,,
9257,89,216,,,,,,
6472,280,217,,,,,,
23769,641,218,,,,,,
1483,344,219,,,,,,
3995,17688,220,,,,,,
12571,1904,221,,,,,,
12742,598,222,,,,,,
18829,1329,223,,,,,,
12915,239,224,,,,,,
10998,61,225,,,,,,
16006,964,226,,,,,,
3445,17776,227,,,,,,
4656,1905,228,,,,,,
111,465,229,,,,,,
9950,1906,230,,,,,,
16019,824,231,,,,,,
6805,1907,232,,,,,,
22932,455,233,,,,,,
21469,18035,234,,,,,,
13245,262,235,,,,,,
21843,805,236,,,,,,
20549,1908,237,,,,,,
21946,1909,238,,,,,,
5266,18107,239,,,,,,
469,1910,240,,,,,,
24543,90,241,,,,,,
1625,1911,242,,,,,,
10141,443,243,,,,,,
12167,453,244,,,,,,
18029,17884,245,,,,,,
17633,761,246,,,,,,
23380,235,247,,,,,,
7792,666,248,,,,,,
17604,18212,249,,,,,,
23881,55,250,,,,,,
3206,1912,251,,,,,,
23835,1913,252,,,,,,
17553,925,253,,,,,,
9076,128,254,,,,,,
16605,1914,255,,,,,,
0,57,256,,,,,,
12829,621,257,,,,,,
4687,689,258,,,,,,
1965,1915,259,,,,,,
8894,1916,260,,,,,,
23437,195,261,,,,,,
14036,399,262,,,,,,
18585,520,263,,,,,,
14600,18196,264,,,,,,
13753,1454,265,,,,,,
23011,268,266,,,,,,
119,138,267,,,,,,
15320,582,268,,,,,,
12495,646,269,,,,,,
10539,1917,270,,,,,,
311,834,271,,,,,,
16981,1918,272,,,,,,
13534,1024,273,,,,,,
13929,260,274,,,,,,
15368,38,275,Informal first-person discourse continuation marker [REFINED]: Feature 15368 detects first-person pronouns following comma-terminated conversational/informal discourse markers,,,,,
19071,275,276,,,,,,
15796,458,277,,,,,,
11702,185,278,,,,,,
1446,242,279,,,,,,
7734,694,280,,,,,,
20043,157,281,,,,,,
17185,1374,282,,,,,,
15478,1919,283,,,,,,
8337,779,284,,,,,,
16394,1323,285,,,,,,
14663,1164,286,,,,,,
12165,1920,287,,,,,,
12504,18213,288,,,,,,
20868,1921,289,,,,,,
3595,147,290,,,,,,
6937,47,291,"Hype/Buzz Detector [REFINED]: Feature 6937 is a lexical detector primarily tuned to the token ' hype' in contexts discussing reputation, buzz, or popular attention.",,,,,
6497,1922,292,,,,,,
12479,447,293,,,,,,
9718,691,294,,,,,,
12891,536,295,,,,,,
12827,51,296,"Cuisine-location locative 'in' [REFINED]: Feature 12827 fires on 'in' when preceded by a cuisine word (Mexican, Italian, Chinese, etc.) and a place-related word.",,,,,
18176,113,297,,,,,,
21571,797,298,,,,,,
13718,1923,299,,,,,,
24270,507,300,,,,,,
18709,163,301,,,,,,
15372,141,302,,,,,,
17290,435,303,,,,,,
1870,27,304,"Acquisition-Framed Quantified Benefit Detector [REFINED]: Feature 1870 detects acquisition-framed quantified benefit expressions - language describing the receipt of discounts, free items, or percentage reductions. It requires BOTH an acquisition ...",no,Discourse - acquisition/discount expressions,WARN,2026-01-14T23:09:20.027945+00:00,"Test 4 (""I paid $20 for my meal last night"") showed inconsistency. Original results recorded 0.0 (no"
18182,1757,305,,,,,,
3188,798,306,,,,,,
18622,586,307,,,,,,
2200,854,308,,,,,,
13417,687,309,,,,,,
3406,1924,310,,,,,,
23302,17651,311,,,,,,
18811,1925,312,,,,,,
24426,72,313,,,,,,
7256,234,314,,,,,,
2836,18271,315,,,,,,
6387,1926,316,,,,,,
22877,18119,317,,,,,,
12340,1927,318,,,,,,
20289,1928,319,,,,,,
4480,1929,320,,,,,,
21802,648,321,,,,,,
11130,1930,322,,,,,,
9994,516,323,,,,,,
5520,17740,324,,,,,,
8493,17385,325,,,,,,
134,18251,326,,,,,,
7932,597,327,,,,,,
17812,737,328,,,,,,
4796,324,329,,,,,,
24123,1032,330,,,,,,
9464,1420,331,,,,,,
18141,1931,332,,,,,,
16390,1932,333,,,,,,
6563,509,334,,,,,,
13079,1933,335,,,,,,
3769,567,336,,,,,,
6901,152,337,,,,,,
15632,584,338,,,,,,
2257,347,339,,,,,,
3223,40,340,Profanity/Expletive Detector (Mid-Sentence Tokens) [REFINED]: Feature 3223 detects English profanity and expletives with gradient response based on word severity and idiomatic context,,,,,
15156,1934,341,,,,,,
17108,430,342,,,,,,
9436,161,343,,,,,,
14654,1668,344,,,,,,
16844,1935,345,,,,,,
23914,1215,346,,,,,,
13177,908,347,,,,,,
13611,1936,348,,,,,,
5310,33,349,"Context-modulated ' inside'/' within' detector [REFINED]: Feature 5310 is a lexically-specific detector for the tokens ' inside' and ' within', with activation strength modulated by preceding verb context. It fires most strongly (0.25-0.35) when p...",,,,,
8806,240,350,,,,,,
5800,17620,351,,,,,,
19156,1937,352,,,,,,
8419,784,353,,,,,,
16229,17719,354,,,,,,
15434,62,355,,,,,,
16512,1076,356,,,,,,
11713,412,357,,,,,,
9371,578,358,,,,,,
2490,398,359,,,,,,
17399,18018,360,,,,,,
20426,17334,361,,,,,,
15045,534,362,,,,,,
1980,212,363,,,,,,
1212,146,364,,,,,,
15952,1938,365,,,,,,
6669,238,366,,,,,,
15458,290,367,,,,,,
8615,580,368,,,,,,
22705,1939,369,,,,,,
11697,17185,370,,,,,,
21363,154,371,,,,,,
15363,1940,372,,,,,,
11222,173,373,,,,,,
19874,1941,374,,,,,,
829,1256,375,,,,,,
1811,1942,376,,,,,,
12614,473,377,,,,,,
2026,1943,378,,,,,,
20913,1944,379,,,,,,
20247,741,380,,,,,,
1215,1945,381,,,,,,
5555,1946,382,,,,,,
22930,1947,383,,,,,,
18487,740,384,,,,,,
11869,1948,385,,,,,,
22521,1156,386,,,,,,
10705,881,387,,,,,,
6998,884,388,,,,,,
18403,616,389,,,,,,
818,1949,390,,,,,,
11441,624,391,,,,,,
5493,17993,392,,,,,,
17856,508,393,,,,,,
19946,1638,394,,,,,,
1447,198,395,,,,,,
10220,690,396,,,,,,
24088,917,397,,,,,,
546,192,398,,,,,,
12539,1950,399,,,,,,
20743,17652,400,,,,,,
20377,297,401,,,,,,
14642,1169,402,,,,,,
9876,686,403,,,,,,
7619,709,404,,,,,,
16283,1951,405,,,,,,
9677,1952,406,,,,,,
21801,969,407,,,,,,
24310,1321,408,,,,,,
709,17820,409,,,,,,
1981,1092,410,,,,,,
3261,903,411,,,,,,
23594,591,412,,,,,,
11444,1953,413,,,,,,
9008,181,414,,,,,,
20955,1954,415,,,,,,
7323,643,416,,,,,,
21934,651,417,,,,,,
7885,1955,418,,,,,,
10192,1011,419,,,,,,
16713,1956,420,,,,,,
13090,1957,421,,,,,,
186,487,422,,,,,,
19109,309,423,,,,,,
12132,594,424,,,,,,
7267,17953,425,,,,,,
17632,427,426,,,,,,
12392,206,427,,,,,,
4546,283,428,,,,,,
10101,1958,429,,,,,,
14751,1821,430,,,,,,
17327,17706,431,,,,,,
11588,17364,432,,,,,,
23903,229,433,,,,,,
3823,16945,434,,,,,,
1821,1959,435,,,,,,
5671,1960,436,,,,,,
14725,1961,437,,,,,,
1997,1089,438,,,,,,
18278,1259,439,,,,,,
12159,1490,440,,,,,,
14039,1962,441,,,,,,
18641,822,442,,,,,,
18374,1963,443,,,,,,
